ppd_id,PlanName,StateAbbrev,planf,ActAssets_AVA_2014,ActAssets_AVA_2015,ActAssets_AVA_2016,ActAssets_GASB_2014,ActAssets_GASB_2015,ActAssets_GASB_2016,ActAssets_Smooth_2014,ActAssets_Smooth_2015,ActAssets_Smooth_2016,actives_tot_2014,actives_tot_2015,actives_tot_2016,ActiveSalaries_2014,ActiveSalaries_2015,ActiveSalaries_2016,ActLiabilities_GASB_2014,ActLiabilities_GASB_2015,ActLiabilities_GASB_2016,beneficiaries_tot_2014,beneficiaries_tot_2015,beneficiaries_tot_2016,BeneficiaryBenefit_avg_2014,BeneficiaryBenefit_avg_2015,BeneficiaryBenefit_avg_2016,benefits_tot_2014,benefits_tot_2015,benefits_tot_2016,CoveredPayroll_GASB67_2014,CoveredPayroll_GASB67_2015,CoveredPayroll_GASB67_2016,expense_TotBenefits_2014,expense_TotBenefits_2015,expense_TotBenefits_2016,MktAssets_net_2014,MktAssets_net_2015,MktAssets_net_2016,NetPosition_2014,NetPosition_2015,NetPosition_2016,payroll_2014,payroll_2015,payroll_2016,TotalPensionLiability_2014,TotalPensionLiability_2015,TotalPensionLiability_2016,UAAL_GASB_2014,UAAL_GASB_2015,UAAL_GASB_2016,al,al_source,payroll,payroll_source,assets.mv,assets.mv_source,assets.av,assets.av_source,uaal,uaal_source,actives,actives_source,beneficiaries,beneficiaries_source,benefits,benefits_source,avgbenefit.ppd,avgbenefit.ppd_source,avgsalary,avgbenefit,avgbenefit_best,AssetSmoothingPeriod_GASB_2014,AssetSmoothingPeriod_GASB_2015,AssetSmoothingPeriod_GASB_2016,openclosedf_2014,openclosedf_2015,openclosedf_2016,pctdollf_2014,pctdollf_2015,pctdollf_2016,UAALAmortPeriod_GASB_2014,UAALAmortPeriod_GASB_2015,UAALAmortPeriod_GASB_2016,assetperiod,assetperiod_source,openclosedf,openclosedf_source,pctdollf,pctdollf_source,amortperiod,amortperiod_source
1,Alabama ERS,AL,General-S&L,10134581,NA,NA,10134581,10589258,NA,10134581.263,10589258.416,NA,84694,84563,NA,3387186.75,3461155.25,NA,15138294,15723720,NA,45275,46514,NA,20.546072006225586,20.789064407348633,NA,930223.375,966982.5625,NA,3511115,3556282,NA,996414,1069539,1084285,10883952,10551904,11177074,10803110,10551904,NA,3444341,3488017,NA,15525291,15961667,NA,5003713,5134462,NA,15723720,ActLiabilities_GASB_2015,3488017,payroll_2015,11177074,MktAssets_net_2016,10589258,ActAssets_GASB_2015,5134462,UAAL_GASB_2015,84563,actives_tot_2015,46514,beneficiaries_tot_2015,966982.5625,benefits_tot_2015,20789.064407348633,BeneficiaryBenefit_avg_2015,41247.55507727966,20789.064851442574,20789.064851442574,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,29.8,30,29.9,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,29.9,UAALAmortPeriod_GASB_2016
2,Alabama Teachers,AL,Teachers,20809872,NA,NA,20809871,21740280,NA,20809871.128,21740279.791,NA,135230,135986,NA,6214949.5,6297938.5,NA,30837829,31844843,NA,86957,89332,NA,22.168563842773438,23.881275177001953,NA,1927711.875,NA,NA,6331740,6331991,NA,2052294,2133362,2212914,22441307,21747731,22936298,20641739,22253818,NA,6335161,6350786,NA,30437059,31338446,NA,10027958,10104563,NA,31844843,ActLiabilities_GASB_2015,6350786,payroll_2015,22936298,MktAssets_net_2016,21740280,ActAssets_GASB_2015,10104563,UAAL_GASB_2015,135986,actives_tot_2015,89332,beneficiaries_tot_2015,1927711.875,benefits_tot_2014,23881.275177001953,BeneficiaryBenefit_avg_2015,46701.763416822316,21579.186349796266,21579.186349796266,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,29.8,29.5,29.9,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,29.9,UAALAmortPeriod_GASB_2016
3,Alaska PERS,AK,General-S&L,NA,NA,NA,7731438,8931160,NA,7731438,8931160,NA,19297,17660,NA,1382654.375,1293559.75,NA,12947759,13337929,NA,31112,32145,NA,17.447999954223633,68.5999984741211,NA,NA,NA,NA,1405198,1412237,1322925,640518,686493,732141,7731438,8606862,8227687,7731438,8606862,8227687,1405198,1412237,1322925,12395578,13456876,13817285,5216321,4406769,NA,13337929,ActLiabilities_GASB_2015,1322925,payroll_2016,8227687,MktAssets_net_2016,8931160,ActAssets_GASB_2015,4406769,UAAL_GASB_2015,17660,actives_tot_2015,32145,beneficiaries_tot_2015,732141,expense_TotBenefits_2016,68599.9984741211,BeneficiaryBenefit_avg_2015,74910.81540203851,22776.201586560896,22776.201586560896,5,5,NA,closed,closed,NA,levpercent,levpercent,NA,25,25,NA,5,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2015,levpercent,pctdollf_2015,25,UAALAmortPeriod_GASB_2015
4,Alaska Teachers,AK,Teachers,NA,NA,NA,3771139,5422651,NA,3771139,5422651,NA,5861,5502,NA,474873.21875,456636,NA,6921362,7051724,NA,12029,12418,NA,34.31999969482422,34.95600128173828,NA,412835.28125,433863.3125,NA,514035,490667,473734,396614,416354,435699,3771139,5246955,4942201,3771139,5246955,4942201,514035,490667,473734,6770201,7107406,7225545,3150223,1629073,NA,7051724,ActLiabilities_GASB_2015,473734,payroll_2016,4942201,MktAssets_net_2016,5422651,ActAssets_GASB_2015,1629073,UAAL_GASB_2015,5502,actives_tot_2015,12418,beneficiaries_tot_2015,433863.3125,benefits_tot_2015,34956.00128173828,BeneficiaryBenefit_avg_2015,86102.14467466377,34938.25998550491,34938.25998550491,5,5,NA,closed,closed,NA,levpercent,levpercent,NA,25,25,NA,5,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2015,levpercent,pctdollf_2015,25,UAALAmortPeriod_GASB_2015
5,Arizona Public Safety Personnel,AZ,Safety,6018984,NA,NA,6018984.092,6217786.571000001,6553902.958,6018984.092,6217786.571000001,6553902.958,18526,18409,18706,1390346.125,1401178.25,1448218.5,12233016.817,12685800.419,14248709.595,12083,12709,13228,51.61600112915039,51.83300018310547,52.34199905395508,NA,NA,NA,1390346.174,1401178.245,1448215.223,612104.805,665138.192,810653.111,5935524.128,6075768.72,6042477.418,5935524.128,6075768.72,6042477.418,1390346.174,1401178.245,1448215.223,12233016.817,12685800.419,14248709.595,6214032.725,6468013.848,7694806.637,14248709.595,ActLiabilities_GASB_2016,1448215.223,payroll_2016,6042477.418,MktAssets_net_2016,6553902.958,ActAssets_GASB_2016,7694806.637,UAAL_GASB_2016,18706,actives_tot_2016,13228,beneficiaries_tot_2016,810653.111,expense_TotBenefits_2016,52341.99905395508,BeneficiaryBenefit_avg_2016,77419.82374639153,61283.119972785,61283.119972785,7,7,7,closed,closed,closed,levpercent,levpercent,levpercent,22,21,20,7,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,20,UAALAmortPeriod_GASB_2016
6,Arizona SRS,AZ,General-S&L,31194504,32783434,NA,31548e3,33113e3,35761373.386,31194504.482,32783434.444,33970392.617,203201,203252,204162,8908621,9072377,9263859,41349e3,42968e3,46104924.533,130461,135538,139823,19.67156410217285,19.710309982299805,NA,NA,NA,NA,8752783,9226319,9125089,2566372,2671496,NA,33693705,33645646,32859791,33693705,33645646,32859791,8909e3,9072e3,9263859.477,48490307,49222083,49000795,9801e3,9855e3,10343551.147,46104924.533,ActLiabilities_GASB_2016,9263859.477,payroll_2016,32859791,MktAssets_net_2016,35761373.386,ActAssets_GASB_2016,10343551.147,UAAL_GASB_2016,204162,actives_tot_2016,139823,beneficiaries_tot_2016,2671496,expense_TotBenefits_2015,19710.309982299805,BeneficiaryBenefit_avg_2015,45375.04274546684,19106.270070017094,19106.270070017094,10,10,10,closed,closed,closed,levdollar,levdollar,levdollar,30,30,30,10,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levdollar,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
7,Arkansas PERS,AR,General-S&L,6894879,7351734.5,NA,6895e3,7352e3,7769e3,6894878.773,7351734.654,7768871.751,45841,45722,45676,1638e3,1645e3,1686500,8864e3,9295e3,9663e3,31914,33106,34214,14.322867393493652,14.61668586730957,13.50456428527832,457100,483900,462045.15625,1745242.112,1757e3,1795e3,414548.645,451912.791,480913.495,7531189.627,7549993.238,7370324.32,7511812.554,7550242.341,7370758.15,1745e3,1645e3,1686500,8920451.518,9391975.712,9762106.222,1969e3,1943e3,1894e3,9663e3,ActLiabilities_GASB_2016,1686500,payroll_2016,7370324.32,MktAssets_net_2016,7769e3,ActAssets_GASB_2016,1894e3,UAAL_GASB_2016,45676,actives_tot_2016,34214,beneficiaries_tot_2016,462045.15625,benefits_tot_2016,13504.56428527832,BeneficiaryBenefit_avg_2016,36923.1106051318,13504.564103875608,13504.564103875608,4,4,4,closed,closed,closed,levdollar,levpercent,levpercent,21,25,21,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,21,UAALAmortPeriod_GASB_2016
8,Arkansas Teachers,AR,Teachers,13374766,NA,NA,13375e3,14433823.989,15239e3,13374765.5,14433823.989,15238522.015,70225,68945,NA,2505117.25,NA,NA,1731e4,18136043.972,18812e3,38202,44722,NA,21.522281646728516,20.495952606201172,NA,822194.1875,916620,NA,2850860.174,2873988.053,2888392.668,914250.015,970719.484,NA,14856276.668,15035701.312,NA,14856276.668,15035701.313,14558576.729,2850860.174,2873888.053,2888392.668,17481282.947,18292611.144,18970019.488,3935e3,3702219.983,3573e3,18812e3,ActLiabilities_GASB_2016,2888392.668,payroll_2016,15035701.312,MktAssets_net_2015,15239e3,ActAssets_GASB_2016,3573e3,UAAL_GASB_2016,68945,actives_tot_2015,44722,beneficiaries_tot_2015,916620,benefits_tot_2015,20495.952606201172,BeneficiaryBenefit_avg_2015,41894.15719776633,20495.95277492062,20495.95277492062,4,4,NA,NA,closed,closed,levpercent,levpercent,levpercent,39,30,25,4,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2016,levpercent,pctdollf_2016,25,UAALAmortPeriod_GASB_2016
9,California PERF,CA,General-S&L,NA,NA,NA,301257e3,302418e3,NA,168187864.144,162046864.061,NA,738422,868713,873026,NA,NA,NA,394726e3,4137e5,NA,726563,611078,648645,24.444658279418945,30.96542739868164,30.978321075439453,NA,NA,NA,NA,NA,NA,17760584,18922292,20093933,301761539,302764518,298704002,NA,NA,NA,44958e3,47458e3,NA,397393088,414841184,437300624,93469e3,111282e3,NA,4137e5,ActLiabilities_GASB_2015,47458e3,payroll_2015,298704002,MktAssets_net_2016,302418e3,ActAssets_GASB_2015,111282e3,UAAL_GASB_2015,873026,actives_tot_2016,648645,beneficiaries_tot_2016,20093933,expense_TotBenefits_2016,30978.321075439453,BeneficiaryBenefit_avg_2016,54360.351238107454,30978.32096138874,30978.32096138874,NA,NA,NA,NA,NA,NA,levpercent,levpercent,levpercent,30,30,30,NA,AssetSmoothingPeriod_GASB_2014,NA,openclosedf_2014,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
10,California Teachers,CA,Teachers,168838e3,NA,NA,158495e3,165553e3,169976e3,166838e3,177059e3,182772e3,420887,429460,438537,2647e4,28013e3,29826e3,231213e3,241753e3,266704e3,275627,282100,288195,42.540550231933594,43.54509353637695,44.734519958496094,NA,NA,NA,27486e3,32026e3,3191e4,11725324,12284071,12892265,190474016,191822336,189113487,190474e3,191822e3,189113e3,27486e3,28013e3,29826e3,248911e3,259146e3,269994e3,72718e3,762e5,96728e3,266704e3,ActLiabilities_GASB_2016,29826e3,payroll_2016,189113487,MktAssets_net_2016,169976e3,ActAssets_GASB_2016,96728e3,UAAL_GASB_2016,438537,actives_tot_2016,288195,beneficiaries_tot_2016,12892265,expense_TotBenefits_2016,44734.519958496094,BeneficiaryBenefit_avg_2016,68012.50521620753,44734.52002984091,44734.52002984091,1,1,1,open,open,open,levpercent,levpercent,levpercent,30,30,30,1,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
