ppd_id,PlanName,StateAbbrev,planf,ActAssets_AVA_2014,ActAssets_AVA_2015,ActAssets_AVA_2016,ActAssets_GASB_2014,ActAssets_GASB_2015,ActAssets_GASB_2016,ActAssets_Smooth_2014,ActAssets_Smooth_2015,ActAssets_Smooth_2016,actives_tot_2014,actives_tot_2015,actives_tot_2016,ActiveSalaries_2014,ActiveSalaries_2015,ActiveSalaries_2016,ActLiabilities_GASB_2014,ActLiabilities_GASB_2015,ActLiabilities_GASB_2016,beneficiaries_tot_2014,beneficiaries_tot_2015,beneficiaries_tot_2016,BeneficiaryBenefit_avg_2014,BeneficiaryBenefit_avg_2015,BeneficiaryBenefit_avg_2016,benefits_tot_2014,benefits_tot_2015,benefits_tot_2016,contrib_EE_regular_2014,contrib_EE_regular_2015,contrib_EE_regular_2016,CoveredPayroll_GASB67_2014,CoveredPayroll_GASB67_2015,CoveredPayroll_GASB67_2016,expense_TotBenefits_2014,expense_TotBenefits_2015,expense_TotBenefits_2016,InflationAssumption_GASB_2014,InflationAssumption_GASB_2015,InflationAssumption_GASB_2016,InvestmentReturnAssumption_GASB_2014,InvestmentReturnAssumption_GASB_2015,InvestmentReturnAssumption_GASB_2016,MktAssets_net_2014,MktAssets_net_2015,MktAssets_net_2016,NetPosition_2014,NetPosition_2015,NetPosition_2016,payroll_2014,payroll_2015,payroll_2016,TotalPensionLiability_2014,TotalPensionLiability_2015,TotalPensionLiability_2016,UAAL_GASB_2014,UAAL_GASB_2015,UAAL_GASB_2016,al,al_source,payroll,payroll_source,assets.mv,assets.mv_source,assets.av,assets.av_source,uaal,uaal_source,actives,actives_source,beneficiaries,beneficiaries_source,benefits,benefits_source,avgbenefit.ppd,avgbenefit.ppd_source,discount,discount_source,infl.ppd,infl.ppd_source,eec,eec_source,avgsalary,avgbenefit,avgbenefit_best,eecRate.ppd_calc,AssetSmoothingPeriod_GASB_2014,AssetSmoothingPeriod_GASB_2015,AssetSmoothingPeriod_GASB_2016,openclosedf_2014,openclosedf_2015,openclosedf_2016,pctdollf_2014,pctdollf_2015,pctdollf_2016,UAALAmortPeriod_GASB_2014,UAALAmortPeriod_GASB_2015,UAALAmortPeriod_GASB_2016,assetperiod,assetperiod_source,openclosedf,openclosedf_source,pctdollf,pctdollf_source,amortperiod,amortperiod_source
1,Alabama ERS,AL,General-S&L,10134581,NA,NA,10134581,10589258,NA,10134581.26,10589258.42,NA,84694,84563,NA,3387186.75,3461155.25,NA,15138294,15723720,NA,45275,46514,NA,20.54607201,20.78906441,NA,930223.375,966982.5625,NA,223135,225767,231794,3511115,3556282,NA,996414,1069539,1084285,0.03,0.03,0.03,0.08,0.08,0.08,10883952,10551904,11177074,10803110,10551904,NA,3444341,3488017,NA,15525291,15961667,NA,5003713,5134462,NA,15723720,ActLiabilities_GASB_2015,3488017,payroll_2015,11177074,MktAssets_net_2016,10589258,ActAssets_GASB_2015,5134462,UAAL_GASB_2015,84563,actives_tot_2015,46514,beneficiaries_tot_2015,966982.5625,benefits_tot_2015,20789.06441,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,2.32E+08,contrib_EE_regular_2016,41247.55508,20789.06485,20789.06485,0.066454378,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,29.8,30,29.9,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,29.9,UAALAmortPeriod_GASB_2016
2,Alabama Teachers,AL,Teachers,20809872,NA,NA,20809871,21740280,NA,20809871.13,21740279.79,NA,135230,135986,NA,6214949.5,6297938.5,NA,30837829,31844843,NA,86957,89332,NA,22.16856384,23.88127518,NA,1927711.875,NA,NA,477300,473903,472390,6331740,6331991,NA,2052294,2133362,2212914,0.03,0.03,0.03,0.08,0.08,0.08,22441307,21747731,22936298,20641739,22253818,NA,6335161,6350786,NA,30437059,31338446,NA,10027958,10104563,NA,31844843,ActLiabilities_GASB_2015,6350786,payroll_2015,22936298,MktAssets_net_2016,21740280,ActAssets_GASB_2015,10104563,UAAL_GASB_2015,135986,actives_tot_2015,89332,beneficiaries_tot_2015,1927711.875,benefits_tot_2014,23881.27518,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,4.72E+08,contrib_EE_regular_2016,46701.76342,21579.18635,21579.18635,0.074382919,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,29.8,29.5,29.9,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,29.9,UAALAmortPeriod_GASB_2016
3,Alaska PERS,AK,General-S&L,NA,NA,NA,7731438,8931160,NA,7731438,8931160,NA,19297,17660,NA,1382654.375,1293559.75,NA,12947759,13337929,NA,31112,32145,NA,17.44799995,68.59999847,NA,NA,NA,NA,106565,100036,96024,1405198,1412237,1322925,640518,686493,732141,0.0312,0.0312,NA,0.08,0.08,NA,7731438,8606862,8227687,7731438,8606862,8227687,1405198,1412237,1322925,12395578,13456876,13817285,5216321,4406769,NA,13337929,ActLiabilities_GASB_2015,1322925,payroll_2016,8227687,MktAssets_net_2016,8931160,ActAssets_GASB_2015,4406769,UAAL_GASB_2015,17660,actives_tot_2015,32145,beneficiaries_tot_2015,732141,expense_TotBenefits_2016,68599.99847,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2015,0.0312,InflationAssumption_GASB_2015,9.60E+07,contrib_EE_regular_2016,74910.8154,22776.20159,22776.20159,0.072584614,5,5,NA,closed,closed,NA,levpercent,levpercent,NA,25,25,NA,5,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2015,levpercent,pctdollf_2015,25,UAALAmortPeriod_GASB_2015
4,Alaska Teachers,AK,Teachers,NA,NA,NA,3771139,5422651,NA,3771139,5422651,NA,5861,5502,NA,474873.2188,456636,NA,6921362,7051724,NA,12029,12418,NA,34.31999969,34.95600128,NA,412835.2813,433863.3125,NA,47724,45506,42654,514035,490667,473734,396614,416354,435699,0.0312,0.0312,NA,0.08,0.08,NA,3771139,5246955,4942201,3771139,5246955,4942201,514035,490667,473734,6770201,7107406,7225545,3150223,1629073,NA,7051724,ActLiabilities_GASB_2015,473734,payroll_2016,4942201,MktAssets_net_2016,5422651,ActAssets_GASB_2015,1629073,UAAL_GASB_2015,5502,actives_tot_2015,12418,beneficiaries_tot_2015,433863.3125,benefits_tot_2015,34956.00128,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2015,0.0312,InflationAssumption_GASB_2015,4.27E+07,contrib_EE_regular_2016,86102.14467,34938.25999,34938.25999,0.090037869,5,5,NA,closed,closed,NA,levpercent,levpercent,NA,25,25,NA,5,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2015,levpercent,pctdollf_2015,25,UAALAmortPeriod_GASB_2015
5,Arizona Public Safety Personnel,AZ,Safety,6018984,NA,NA,6018984.092,6217786.571,6553902.958,6018984.092,6217786.571,6553902.958,18526,18409,18706,1390346.125,1401178.25,1448218.5,12233016.82,12685800.42,14248709.6,12083,12709,13228,51.61600113,51.83300018,52.34199905,NA,NA,NA,141066.081,154359.12,169469.738,1390346.174,1401178.245,1448215.223,612104.805,665138.192,810653.111,0.04,0.04,0.04,0.0785,0.0785,0.075,5935524.128,6075768.72,6042477.418,5935524.128,6075768.72,6042477.418,1390346.174,1401178.245,1448215.223,12233016.82,12685800.42,14248709.6,6214032.725,6468013.848,7694806.637,14248709.6,ActLiabilities_GASB_2016,1448215.223,payroll_2016,6042477.418,MktAssets_net_2016,6553902.958,ActAssets_GASB_2016,7694806.637,UAAL_GASB_2016,18706,actives_tot_2016,13228,beneficiaries_tot_2016,810653.111,expense_TotBenefits_2016,52341.99905,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.04,InflationAssumption_GASB_2016,169469738,contrib_EE_regular_2016,77419.82375,61283.11997,61283.11997,0.117019719,7,7,7,closed,closed,closed,levpercent,levpercent,levpercent,22,21,20,7,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,20,UAALAmortPeriod_GASB_2016
6,Arizona SRS,AZ,General-S&L,31194504,32783434,NA,3.15E+07,3.31E+07,35761373.39,31194504.48,32783434.44,33970392.62,203201,203252,204162,8908621,9072377,9263859,4.13E+07,4.30E+07,46104924.53,130461,135538,139823,19.6715641,19.71030998,NA,NA,NA,NA,995284,1031954,1036714,8752783,9226319,9125089,2566372,2671496,NA,0.03,0.03,0.03,0.08,0.08,0.08,33693705,33645646,32859791,33693705,33645646,32859791,8.91E+06,9.07E+06,9263859.477,48490307,49222083,49000795,9.80E+06,9.86E+06,10343551.15,46104924.53,ActLiabilities_GASB_2016,9263859.477,payroll_2016,32859791,MktAssets_net_2016,35761373.39,ActAssets_GASB_2016,10343551.15,UAAL_GASB_2016,204162,actives_tot_2016,139823,beneficiaries_tot_2016,2671496,expense_TotBenefits_2015,19710.30998,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,1.04E+09,contrib_EE_regular_2016,45375.04275,19106.27007,19106.27007,0.111909513,10,10,10,closed,closed,closed,levdollar,levdollar,levdollar,30,30,30,10,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levdollar,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
7,Arkansas PERS,AR,General-S&L,6894879,7351734.5,NA,6.90E+06,7.35E+06,7.77E+06,6894878.773,7351734.654,7768871.751,45841,45722,45676,1.64E+06,1.65E+06,1686500,8.86E+06,9.30E+06,9.66E+06,31914,33106,34214,14.32286739,14.61668587,13.50456429,457100,483900,462045.1563,48237.869,51596.001,55944.132,1745242.112,1.76E+06,1.80E+06,414548.645,451912.791,480913.495,0.0375,0.025,0.025,0.0775,0.075,0.075,7531189.627,7549993.238,7370324.32,7511812.554,7550242.341,7370758.15,1.75E+06,1.65E+06,1686500,8920451.518,9391975.712,9762106.222,1.97E+06,1.94E+06,1.89E+06,9.66E+06,ActLiabilities_GASB_2016,1686500,payroll_2016,7370324.32,MktAssets_net_2016,7.77E+06,ActAssets_GASB_2016,1.89E+06,UAAL_GASB_2016,45676,actives_tot_2016,34214,beneficiaries_tot_2016,462045.1563,benefits_tot_2016,13504.56429,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.025,InflationAssumption_GASB_2016,55944132,contrib_EE_regular_2016,36923.11061,13504.5641,13504.5641,0.033171736,4,4,4,closed,closed,closed,levdollar,levpercent,levpercent,21,25,21,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,21,UAALAmortPeriod_GASB_2016
8,Arkansas Teachers,AR,Teachers,13374766,NA,NA,1.34E+07,14433823.99,1.52E+07,13374765.5,14433823.99,15238522.02,70225,68945,NA,2505117.25,NA,NA,1.73E+07,18136043.97,1.88E+07,38202,44722,NA,21.52228165,20.49595261,NA,822194.1875,916620,NA,125225.906,128555.684,NA,2850860.174,2873988.053,2888392.668,914250.015,970719.484,NA,NA,NA,0.0312,0.08,0.08,0.08,14856276.67,15035701.31,NA,14856276.67,15035701.31,14558576.73,2850860.174,2873888.053,2888392.668,17481282.95,18292611.14,18970019.49,3.94E+06,3702219.983,3.57E+06,1.88E+07,ActLiabilities_GASB_2016,2888392.668,payroll_2016,15035701.31,MktAssets_net_2015,1.52E+07,ActAssets_GASB_2016,3.57E+06,UAAL_GASB_2016,68945,actives_tot_2015,44722,beneficiaries_tot_2015,916620,benefits_tot_2015,20495.95261,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2016,0.0312,InflationAssumption_GASB_2016,128555684,contrib_EE_regular_2015,41894.1572,20495.95277,20495.95277,0.044507689,4,4,NA,NA,closed,closed,levpercent,levpercent,levpercent,39,30,25,4,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2016,levpercent,pctdollf_2016,25,UAALAmortPeriod_GASB_2016
9,California PERF,CA,General-S&L,NA,NA,NA,3.01E+08,3.02E+08,NA,168187864.1,162046864.1,NA,738422,868713,873026,NA,NA,NA,3.95E+08,4.14E+08,NA,726563,611078,648645,24.44465828,30.9654274,30.97832108,NA,NA,NA,3775038,3724310,4015754,NA,NA,NA,17760584,18922292,20093933,0.0275,0.0275,0.0275,0.075,0.075,0.075,301761539,302764518,298704002,NA,NA,NA,4.50E+07,4.75E+07,NA,397393088,414841184,437300624,9.35E+07,1.11E+08,NA,4.14E+08,ActLiabilities_GASB_2015,4.75E+07,payroll_2015,298704002,MktAssets_net_2016,3.02E+08,ActAssets_GASB_2015,1.11E+08,UAAL_GASB_2015,873026,actives_tot_2016,648645,beneficiaries_tot_2016,20093933,expense_TotBenefits_2016,30978.32108,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.0275,InflationAssumption_GASB_2016,4.02E+09,contrib_EE_regular_2016,54360.35124,30978.32096,30978.32096,0.084617009,NA,NA,NA,NA,NA,NA,levpercent,levpercent,levpercent,30,30,30,NA,AssetSmoothingPeriod_GASB_2014,NA,openclosedf_2014,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
10,California Teachers,CA,Teachers,1.69E+08,NA,NA,1.58E+08,1.66E+08,1.70E+08,1.67E+08,1.77E+08,1.83E+08,420887,429460,438537,2.65E+07,2.80E+07,2.98E+07,2.31E+08,2.42E+08,2.67E+08,275627,282100,288195,42.54055023,43.54509354,44.73451996,NA,NA,NA,2263613,2509712,2957473,2.75E+07,3.20E+07,3.19E+07,11725324,12284071,12892265,0.03,0.03,0.03,0.075,0.075,0.075,190474016,191822336,189113487,1.90E+08,1.92E+08,1.89E+08,2.75E+07,2.80E+07,2.98E+07,2.49E+08,2.59E+08,2.70E+08,7.27E+07,7.62E+07,9.67E+07,2.67E+08,ActLiabilities_GASB_2016,2.98E+07,payroll_2016,189113487,MktAssets_net_2016,1.70E+08,ActAssets_GASB_2016,9.67E+07,UAAL_GASB_2016,438537,actives_tot_2016,288195,beneficiaries_tot_2016,12892265,expense_TotBenefits_2016,44734.51996,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,2.96E+09,contrib_EE_regular_2016,68012.50522,44734.52003,44734.52003,0.099157547,1,1,1,open,open,open,levpercent,levpercent,levpercent,30,30,30,1,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
